Building_Age,Number_of_Floors,Total_Area,Number_of_Windows,Insulation_Type,Heating_System,Cooling_System,Energy_Consumption
56,33,16880,153,Polyurethane,Heat Pump,Window Units,799466.74
88,4,39051,210,Cellulose,Geothermal,None,1637312.69
25,33,93415,27,Spray Foam,Geothermal,None,2009154.0
41,30,72015,170,Cellulose,Geothermal,Central AC,3025257.99
46,47,57045,267,Spray Foam,Geothermal,Central AC,2482095.44
77,9,73575,45,Spray Foam,Geothermal,Evaporative,3919095.42
17,48,1638,477,Fiberglass,Geothermal,Heat Pump,61817.13
44,42,62319,391,Cellulose,Geothermal,Central AC,4154267.92
48,38,58997,403,Mineral Wool,Heat Pump,Central AC,2658720.03
12,38,34162,354,Mineral Wool,Heat Pump,None,527818.09
90,1,34476,286,Cellulose,Forced Air,Window Units,2477278.58
32,36,33393,276,Mineral Wool,Radiant,Heat Pump,922324.57
48,37,59884,356,Cellulose,Forced Air,None,3043976.26
17,4,86829,316,Fiberglass,Boiler,Evaporative,3855817.07
86,37,47094,101,Polyurethane,Boiler,Evaporative,3835517.64
14,7,43568,58,Spray Foam,Heat Pump,Window Units,1488778.31
82,2,3651,271,Cellulose,Radiant,Central AC,218242.26
94,14,77513,62,Fiberglass,Geothermal,Evaporative,2125462.56
74,9,28037,431,Spray Foam,Heat Pump,None,2094361.32
98,19,39981,445,Spray Foam,Forced Air,Evaporative,609735.98
29,18,28701,231,Polyurethane,Heat Pump,Evaporative,924385.88
93,8,47323,301,Spray Foam,Forced Air,None,1042914.5
83,20,34362,325,Fiberglass,Geothermal,None,2112970.5
38,13,57999,36,Polyurethane,Geothermal,Heat Pump,2919241.33
89,40,74041,224,Mineral Wool,Radiant,Heat Pump,6903429.93
37,5,15787,431,Spray Foam,Geothermal,Window Units,169308.83
75,19,13062,129,Spray Foam,Boiler,Window Units,657503.11
3,6,96406,257,Spray Foam,Radiant,None,1625229.54
12,11,20228,205,Mineral Wool,Radiant,Window Units,414054.39
69,28,26902,367,Spray Foam,Boiler,Window Units,1104764.71
52,40,31779,196,Cellulose,Radiant,Evaporative,1165296.57
71,13,82791,244,Fiberglass,Forced Air,None,5465648.41
50,26,95856,100,Cellulose,Geothermal,None,2649660.13
60,21,38429,25,Polyurethane,Heat Pump,Evaporative,2431402.27
62,25,13227,272,Cellulose,Radiant,None,886643.45
20,15,9629,106,Spray Foam,Heat Pump,None,163139.57
64,43,57659,405,Mineral Wool,Heat Pump,Central AC,625856.58
85,42,13154,170,Spray Foam,Radiant,None,161484.19
6,34,82254,250,Mineral Wool,Boiler,Central AC,2592271.62
24,19,13622,402,Mineral Wool,Boiler,Central AC,150890.12
59,15,79612,297,Polyurethane,Forced Air,Window Units,5466805.35
27,40,54829,264,Fiberglass,Radiant,Central AC,1300013.21
51,37,79211,179,Mineral Wool,Heat Pump,Window Units,5590366.08
1,20,84536,340,Polyurethane,Heat Pump,Central AC,1247119.64
58,20,48921,490,Fiberglass,Boiler,Window Units,3369069.42
83,28,42398,208,Mineral Wool,Heat Pump,None,2533342.23
7,19,88280,228,Spray Foam,Heat Pump,Central AC,2520993.81
37,50,67654,57,Mineral Wool,Geothermal,Central AC,3194852.01
85,45,74526,199,Fiberglass,Radiant,None,4031289.67
63,49,69962,176,Spray Foam,Geothermal,Evaporative,3212254.69
30,49,45106,61,Fiberglass,Forced Air,Evaporative,970307.55
97,18,91177,115,Spray Foam,Forced Air,Window Units,3870676.43
73,10,97266,220,Spray Foam,Radiant,Central AC,5428813.4
58,5,42700,95,Cellulose,Heat Pump,Heat Pump,3056873.72
24,2,90340,135,Cellulose,Forced Air,Evaporative,3595959.83
91,16,89245,62,Cellulose,Heat Pump,Heat Pump,1421074.04
84,23,27490,175,Polyurethane,Geothermal,Window Units,289879.7
33,33,39926,177,Fiberglass,Boiler,Heat Pump,820106.44
99,12,10952,476,Cellulose,Radiant,Evaporative,122347.75
33,37,49448,116,Polyurethane,Forced Air,None,1621954.55
33,3,21916,206,Polyurethane,Geothermal,Window Units,1454947.54
16,46,86633,322,Fiberglass,Forced Air,None,2682140.86
42,35,29719,55,Polyurethane,Radiant,Window Units,1763811.4
56,6,81058,236,Mineral Wool,Geothermal,Window Units,5322036.28
16,38,15408,472,Fiberglass,Heat Pump,Central AC,423488.53
93,32,86532,289,Cellulose,Heat Pump,Heat Pump,4748096.33
89,48,78544,215,Fiberglass,Forced Air,Heat Pump,5403431.67
95,30,81629,383,Fiberglass,Boiler,Heat Pump,3513961.54
4,20,35296,302,Fiberglass,Geothermal,None,1063948.03
92,27,73790,220,Fiberglass,Heat Pump,Central AC,6590451.37
76,37,15420,154,Cellulose,Boiler,Central AC,340964.36
38,37,95981,280,Mineral Wool,Radiant,Evaporative,5779515.88
40,9,6292,69,Cellulose,Forced Air,Central AC,393573.71
5,22,32739,372,Fiberglass,Boiler,Heat Pump,1321791.34
38,23,5881,198,Fiberglass,Radiant,Heat Pump,61634.17
90,32,20881,279,Cellulose,Geothermal,None,753587.31
45,27,52216,408,Spray Foam,Geothermal,None,2193845.71
2,3,40924,398,Spray Foam,Geothermal,Central AC,1256235.76
